Titulo,Preco,Bairro,Cidade,Endereco,Metragem,Quartos,Banheiros,Vagas,Link
"Casa de condomínio para comprar com 455 m² em
De Lourdes, Rio Verde",R$ 780.000,De Lourdes,Rio Verde,Rua 105,455 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-de-lourdes-rio-verde-go-455m2-id-2747431394/?source=ranking%2Crp
"Casa para comprar com 75 m², 3 quartos, 2 banheiros, 1 vaga em
Cidade Jardim I e II, Rio Verde",R$ 390.000,Cidade Jardim I e II,Rio Verde,N/A,75 m²,3,2,1,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-cidade-jardim-i-e-ii-rio-verde-go-75m2-id-2864247860/?source=ranking%2Crp
"Casa para comprar com 83 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Recanto dos Ipês, Rio Verde",R$ 399.000,Residencial Recanto dos Ipês,Rio Verde,N/A,83 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-closet-residencial-recanto-dos-ipes-rio-verde-go-83m2-id-2859591453/?source=ranking%2Crp
"Casa para comprar com 80 m², 3 quartos, 1 banheiro, 2 vagas em
Residencial Recanto dos Ipês, Rio Verde",R$ 395.000,Residencial Recanto dos Ipês,Rio Verde,Rua R-006,80 m²,3,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-recanto-dos-ipes-rio-verde-80m2-id-2865131270/?source=ranking%2Crp
"Casa para comprar com 75 m², 3 quartos, 1 banheiro, 2 vagas em
Cidade Jardim I e II, Rio Verde",R$ 390.000,Cidade Jardim I e II,Rio Verde,Rua CD-01,75 m²,3,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-cidade-jardim-i-e-ii-rio-verde-75m2-id-2865129105/?source=ranking%2Crp
"Casa para comprar com 116 m², 3 quartos, 1 banheiro, 2 vagas em
Residencial Canaã II, Rio Verde",R$ 650.000,Residencial Canaã II,Rio Verde,Rua SA - 23,116 m²,3,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-canaa-ii-rio-verde-116m2-id-2865129995/?source=ranking%2Crp
"Casa para comprar com 82 m², 3 quartos, 1 banheiro em
Residencial Recanto dos Ipês, Rio Verde",R$ 430.000,Residencial Recanto dos Ipês,Rio Verde,Rua R-010,82 m²,3,1,N/A,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-residencial-recanto-dos-ipes-rio-verde-82m2-id-2865131355/?source=ranking%2Crp
"Casa para comprar com 66 m², 3 quartos, 1 banheiro em
Residencial Canaã II, Rio Verde",R$ 580.000,Residencial Canaã II,Rio Verde,Rua Hildete Duarte de Oliveira,66 m²,3,1,N/A,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-canaa-ii-rio-verde-66m2-id-2865131354/?source=ranking%2Crp
"Apartamento para comprar com 72 m², 3 quartos, 1 banheiro, 1 vaga em
Nova Vila Maria, Rio Verde",R$ 320.000,Nova Vila Maria,Rio Verde,Rua Bartolomeu Bueno da Silva,72 m²,3,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-nova-vila-maria-rio-verde-72m2-id-2865131357/?source=ranking%2Crp
"Casa para comprar com 169 m², 3 quartos, 2 banheiros, 2 vagas em
Conjunto Morada do Sol, Rio Verde",R$ 370.000,Conjunto Morada do Sol,Rio Verde,Rua 2,169 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-conjunto-morada-do-sol-rio-verde-169m2-id-2865129106/?source=ranking%2Crp
"Apartamento para comprar com 65 m², 2 quartos, 1 banheiro, 1 vaga em
Residencial Interlagos, Rio Verde",R$ 250.000,Residencial Interlagos,Rio Verde,N/A,65 m²,2,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-residencial-interlagos-rio-verde-65m2-id-2865050801/?source=ranking%2Crp
"Casa para comprar com 83 m², 3 quartos, 2 banheiros, 2 vagas em
Jardim Floresta, Rio Verde",R$ 335.000,Jardim Floresta,Rio Verde,Rua da Peroba,83 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-floresta-rio-verde-83m2-id-2856839454/?source=ranking%2Crp
"Casa para comprar com 78 m², 3 quartos, 1 banheiro em
Loteamento Reserva do Parque, Rio Verde",R$ 350.000,Loteamento Reserva do Parque,Rio Verde,Avenida 1ª Circular,78 m²,3,1,N/A,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-loteamento-reserva-do-parque-rio-verde-78m2-id-2865131358/?source=ranking%2Crp
"Apartamento para comprar com 60 m², 2 quartos, 2 banheiros, 2 vagas em
Setor Universitário, Rio Verde",R$ 420.000,Setor Universitário,Rio Verde,N/A,60 m²,2,2,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-setor-universitario-rio-verde-60m2-id-2864815299/?source=ranking%2Crp
"Apartamento para comprar com 80 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Solar dos Ataídes 2ª Etapa, Rio Verde",R$ 470.000,Residencial Solar dos Ataídes 2ª Etapa,Rio Verde,N/A,80 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-residencial-solar-dos-ataides-2-etapa-rio-verde-80m2-id-2864264761/?source=ranking%2Crp
"Casa para comprar com 80 m², 3 quartos, 1 banheiro, 2 vagas em
Residencial Recanto dos Ipês, Rio Verde",R$ 430.000,Residencial Recanto dos Ipês,Rio Verde,Avenida Verde,80 m²,3,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-recanto-dos-ipes-rio-verde-80m2-id-2864900454/?source=ranking%2Crp
"Casa para comprar com 49 m², 2 quartos, 2 banheiros, 1 vaga em
Residencial Pizolato, Rio Verde",R$ 237.000,Residencial Pizolato,Rio Verde,Rua Flor Colestenia,49 m²,2,2,1,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-residencial-pizolato-rio-verde-49m2-id-2864929703/?source=ranking%2Crp
"Casa para comprar com 78 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Recanto dos Ipês, Rio Verde",R$ 420.000,Residencial Recanto dos Ipês,Rio Verde,N/A,78 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-recanto-dos-ipes-rio-verde-78m2-id-2864245890/?source=ranking%2Crp
"Casa para comprar com 90 m², 2 quartos, 1 banheiro, 2 vagas em
Setor Universitário, Rio Verde",R$ 370.000,Setor Universitário,Rio Verde,Rua U-008,90 m²,2,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-setor-universitario-rio-verde-90m2-id-2864658963/?source=ranking%2Crp
"Casa para comprar com 175 m², 3 quartos, 3 banheiros em
Parque Solar do Agreste B, Rio Verde",R$ 1.600.000,Parque Solar do Agreste B,Rio Verde,Rua L,175 m²,3,3,N/A,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-parque-solar-do-agreste-b-rio-verde-175m2-id-2865130376/?source=ranking%2Crp
"Casa para comprar com 80 m², 3 quartos, 1 banheiro, 2 vagas em
Residencial Recanto dos Ipês, Rio Verde",R$ 420.000,Residencial Recanto dos Ipês,Rio Verde,Avenida Verde,80 m²,3,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-recanto-dos-ipes-rio-verde-80m2-id-2864900063/?source=ranking%2Crp
"Casa para comprar com 126 m², 3 quartos, 1 banheiro em
Setor Central, Rio Verde",R$ 700.000,Setor Central,Rio Verde,N/A,126 m²,3,1,N/A,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-setor-central-rio-verde-126m2-id-2865131356/?source=ranking%2Crp
"Casa para comprar com 90 m², 3 quartos, 1 banheiro em
Residencial Solar dos Ataídes 2ª Etapa, Rio Verde",R$ 480.000,Residencial Solar dos Ataídes 2ª Etapa,Rio Verde,Rua SA - 15,90 m²,3,1,N/A,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-solar-dos-ataides-2-etapa-rio-verde-90m2-id-2838695433/?source=ranking%2Crp
"Casa para comprar com 75 m², 3 quartos, 2 banheiros, 1 vaga em
Cidade Jardim I e II, Rio Verde",R$ 390.000,Cidade Jardim I e II,Rio Verde,N/A,75 m²,3,2,1,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-cidade-jardim-i-e-ii-rio-verde-75m2-id-2864247860/?source=ranking%2Crp
"Casa para comprar com 140 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Solar dos Ataídes 2ª Etapa, Rio Verde",R$ 890.000,Residencial Solar dos Ataídes 2ª Etapa,Rio Verde,Rua SA - 15,140 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-residencial-solar-dos-ataides-2-etapa-rio-verde-140m2-id-2865129996/?source=ranking%2Crp
"Casa para comprar com 87 m², 3 quartos, 1 banheiro, 2 vagas em
Residencial Jardim Helena, Rio Verde",R$ 390.000,Residencial Jardim Helena,Rio Verde,N/A,87 m²,3,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-residencial-jardim-helena-rio-verde-87m2-id-2864942955/?source=ranking%2Crp
"Casa para comprar com 105 m², 3 quartos, 2 banheiros, 2 vagas em
Setor Universitário, Rio Verde",R$ 710.000,Setor Universitário,Rio Verde,Rua U-001,105 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-armario-embutido-setor-universitario-rio-verde-105m2-id-2864653005/?source=ranking%2Crp
"Casa para comprar com 125 m², 3 quartos, 1 banheiro, 4 vagas em
Residencial Campos Elíseos, Rio Verde",R$ 750.000,Residencial Campos Elíseos,Rio Verde,Rua Silma Rodovalho,125 m²,3,1,4,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-campos-eliseos-rio-verde-125m2-id-2865131268/?source=ranking%2Crp
"Apartamento para comprar com 63 m², 2 quartos, 2 banheiros, 1 vaga em
Jardim Presidente, Rio Verde",R$ 573.597,Jardim Presidente,Rio Verde,Rua 131,63 m²,2,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-jardim-presidente-rio-verde-63m2-id-2780484437/?source=ranking%2Crp
"Casa para comprar com 83 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Recanto dos Ipês, Rio Verde",R$ 420.000,Residencial Recanto dos Ipês,Rio Verde,N/A,83 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-recanto-dos-ipes-rio-verde-83m2-id-2864252458/?source=ranking%2Crp
"Apartamento para comprar com 65 m², 1 quarto, 2 banheiros, 2 vagas em
Setor Universitário, Rio Verde",R$ 470.000,Setor Universitário,Rio Verde,Rua U-004,65 m²,1,2,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-mobiliado-setor-universitario-rio-verde-65m2-id-2561223556/?source=ranking%2Crp
"Apartamento para comprar com 62 m², 2 quartos, 2 banheiros, 1 vaga em
Residencial Interlagos, Rio Verde",R$ 550.000,Residencial Interlagos,Rio Verde,Alameda Nestor Fonseca,62 m²,2,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-academia-residencial-interlagos-rio-verde-62m2-id-2854202275/?source=ranking%2Crp
"Casa para comprar com 120 m², 3 quartos, 2 banheiros, 2 vagas em
Jardim Presidente, Rio Verde",R$ 680.000,Jardim Presidente,Rio Verde,Rua 103,120 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-presidente-rio-verde-120m2-id-2832420518/?source=ranking%2Crp
"Casa para comprar com 126 m², 3 quartos, 1 banheiro, 5 vagas em
Lindolfina, Rio Verde",R$ 450.000,Lindolfina,Rio Verde,Rua L - 6,126 m²,3,1,5,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-lindolfina-rio-verde-126m2-id-2865131269/?source=ranking%2Crp
"Casa para comprar com 145 m², 3 quartos, 2 banheiros em
Residencial Campos Elíseos, Rio Verde",R$ 800.000,Residencial Campos Elíseos,Rio Verde,N/A,145 m²,3,2,N/A,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-campos-eliseos-rio-verde-145m2-id-2865131353/?source=ranking%2Crp
"Lote/Terreno para comprar com 250 m² em
Jardim Esperanza, Rio Verde",R$ 250.070,Jardim Esperanza,Rio Verde,Avenida Elavino Martins Guimarães,250 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-esperanza-rio-verde-250m2-id-2781412818/?source=ranking%2Crp
"Lote/Terreno para comprar com 180 m² em
Residencial Arco Iris, Rio Verde",R$ 135.000,Residencial Arco Iris,Rio Verde,Rua Arco Iris,180 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-residencial-arco-iris-rio-verde-180m2-id-2800368618/?source=ranking%2Crp
"Casa para comprar com 125 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Canaã II, Rio Verde",R$ 630.000,Residencial Canaã II,Rio Verde,Alameda das Acácias,125 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-grande-residencial-canaa-ii-rio-verde-125m2-id-2861167856/?source=ranking%2Crp
"Casa para comprar com 109 m², 3 quartos, 2 banheiros, 2 vagas em
Vila Meneses, Rio Verde",R$ 360.000,Vila Meneses,Rio Verde,Rua Veríssimo Pereira,109 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-vila-meneses-rio-verde-109m2-id-2862234463/?source=ranking%2Crp
"Casa para comprar com 65 m², 2 quartos, 2 banheiros, 2 vagas em
Jardim Floresta, Rio Verde",R$ 360.000,Jardim Floresta,Rio Verde,Rua do Jatobá,65 m²,2,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-sala-grande-jardim-floresta-rio-verde-65m2-id-2861168461/?source=ranking%2Crp
"Casa para comprar com 100 m², 2 quartos, 1 banheiro, 4 vagas em
Liberdade, Rio Verde",R$ 315.000,Liberdade,Rio Verde,Rua João de Barro,100 m²,2,1,4,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-liberdade-rio-verde-100m2-id-2841747030/?source=ranking%2Crp
"Sobrado para comprar com 179 m², 3 quartos, 4 banheiros, 2 vagas em
Residencial Solar dos Ataídes 2ª Etapa, Rio Verde",R$ 1.099.000,Residencial Solar dos Ataídes 2ª Etapa,Rio Verde,Rua SA - 07,179 m²,3,4,2,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-varanda-gourmet-residencial-solar-dos-ataides-2-etapa-rio-verde-179m2-id-2828692560/?source=ranking%2Crp
"Lote/Terreno para comprar com 18750 m² em
Distrito Agroindustrial de Rio Verde II - DARV II, Rio Verde",R$ 3.200.000,Distrito Agroindustrial de Rio Verde II - DARV II,Rio Verde,Via Secundária 1,18750 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-distrito-agroindustrial-de-rio-verde-ii-darv-ii-rio-verde-18750m2-id-2803352921/?source=ranking%2Crp
"Casa para comprar com 140 m², 2 quartos, 1 banheiro, 3 vagas em
Liberdade, Rio Verde",R$ 320.000,Liberdade,Rio Verde,Rua Bem-Te-Vi,140 m²,2,1,3,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-liberdade-rio-verde-140m2-id-2858171385/?source=ranking%2Crp
"Casa para comprar com 73 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Canaã II, Rio Verde",R$ 390.000,Residencial Canaã II,Rio Verde,N/A,73 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-canaa-ii-rio-verde-73m2-id-2847453324/?source=ranking%2Crp
"Casa para comprar com 105 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Gameleira, Rio Verde",R$ 580.000,Residencial Gameleira,Rio Verde,Rua do Amarelinho,105 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-ambientes-integrados-residencial-gameleira-rio-verde-105m2-id-2774347705/?source=ranking%2Crp
"Casa para comprar com 70 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Maranata, Rio Verde",R$ 345.000,Residencial Maranata,Rio Verde,Rua Betel,70 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-ambientes-integrados-residencial-maranata-rio-verde-70m2-id-2832417617/?source=ranking%2Crp
"Casa para comprar com 130 m², 3 quartos, 1 banheiro, 3 vagas em
Residencial Bela Vista, Rio Verde",R$ 595.000,Residencial Bela Vista,Rio Verde,N/A,130 m²,3,1,3,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-residencial-bela-vista-rio-verde-130m2-id-2854792645/?source=ranking%2Crp
"Lote/Terreno para comprar com 15000 m² em
Área Rural de Rio Verde, Rio Verde",R$ 7.000.000,Área Rural de Rio Verde,Rio Verde,N/A,15000 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-area-rural-de-rio-verde-rio-verde-15000m2-id-2701748735/?source=ranking%2Crp
"Lote/Terreno para comprar com 622 m² em
Área Rural de Rio Verde, Rio Verde",R$ 630.000,Área Rural de Rio Verde,Rio Verde,N/A,622 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-area-rural-de-rio-verde-rio-verde-622m2-id-2596171768/?source=ranking%2Crp
"Casa para comprar com 101 m², 3 quartos, 2 banheiros, 3 vagas em
Santo Agostinho, Rio Verde",R$ 495.000,Santo Agostinho,Rio Verde,Rua Dom Pedro II,101 m²,3,2,3,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-area-de-servico-santo-agostinho-rio-verde-101m2-id-2859101462/?source=ranking%2Crp
"Imóvel comercial para comprar com 90 m², 3 quartos, 1 banheiro, 2 vagas em
Jardim Floresta, Rio Verde",R$ 320.000,Jardim Floresta,Rio Verde,N/A,90 m²,3,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-area-de-servico-jardim-floresta-rio-verde-90m2-id-2807981564/?source=ranking%2Crp
"Casa para comprar com 110 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Solar dos Ataídes 1ª Etapa, Rio Verde",R$ 560.000,Residencial Solar dos Ataídes 1ª Etapa,Rio Verde,Corredor Público,110 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-ambientes-integrados-residencial-solar-dos-ataides-1-etapa-rio-verde-110m2-id-2855657823/?source=ranking%2Crp
"Casa para comprar com 105 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Veneza, Rio Verde",R$ 445.000,Residencial Veneza,Rio Verde,Rua Bougainville,105 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-blindex-residencial-veneza-rio-verde-105m2-id-2827615221/?source=ranking%2Crp
"Lote/Terreno para comprar com 250 m² em
Jardim Adriana, Rio Verde",R$ 170.000,Jardim Adriana,Rio Verde,N/A,250 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-adriana-rio-verde-250m2-id-2541500415/?source=ranking%2Crp
"Casa para comprar com 190 m², 3 quartos, 3 banheiros, 4 vagas em
Residencial Interlagos, Rio Verde",R$ 980.000,Residencial Interlagos,Rio Verde,Rua Anásia Antônio Cunha,190 m²,3,3,4,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-ambientes-integrados-residencial-interlagos-rio-verde-190m2-id-2855657418/?source=ranking%2Crp
"Casa para comprar com 145 m², 3 quartos, 3 banheiros, 3 vagas em
De Lourdes, Rio Verde",R$ 695.000,De Lourdes,Rio Verde,Rua 121,145 m²,3,3,3,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-area-de-servico-de-lourdes-rio-verde-145m2-id-2820020033/?source=ranking%2Crp
"Casa para comprar com 83 m², 3 quartos, 2 banheiros, 2 vagas em
Liberdade, Rio Verde",R$ 380.000,Liberdade,Rio Verde,Rua Águia,83 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-ambientes-integrados-liberdade-rio-verde-83m2-id-2802849128/?source=ranking%2Crp
"Casa para comprar com 80 m², 3 quartos, 2 banheiros, 2 vagas em
Cidade Jardim I e II, Rio Verde",R$ 415.000,Cidade Jardim I e II,Rio Verde,Avenida dos Ipês,80 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-laje-cidade-jardim-i-e-ii-rio-verde-80m2-id-2802849724/?source=ranking%2Crp
"Casa para comprar com 105 m², 3 quartos, 2 banheiros, 3 vagas em
Cidade Jardim I e II, Rio Verde",R$ 440.000,Cidade Jardim I e II,Rio Verde,Avenida dos Ipês,105 m²,3,2,3,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-laje-cidade-jardim-i-e-ii-rio-verde-105m2-id-2859102053/?source=ranking%2Crp
"Casa para comprar com 125 m², 3 quartos, 2 banheiros, 2 vagas em
Parque Laranjeiras, Rio Verde",R$ 650.000,Parque Laranjeiras,Rio Verde,Rua Carajás,125 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-parque-laranjeiras-rio-verde-125m2-id-2741493472/?source=ranking%2Crp
"Apartamento para comprar com 62 m², 2 quartos, 2 banheiros, 1 vaga em
Parque dos Buritis, Rio Verde",R$ 625.736,Parque dos Buritis,Rio Verde,Avenida 2,62 m²,2,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-parque-dos-buritis-rio-verde-62m2-id-2781130025/?source=ranking%2Crp
"Casa para comprar com 126 m², 3 quartos, 1 banheiro, 2 vagas em
Residencial Canaã II, Rio Verde",R$ 660.000,Residencial Canaã II,Rio Verde,N/A,126 m²,3,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-residencial-canaa-ii-rio-verde-126m2-id-2736096072/?source=ranking%2Crp
"Casa para comprar com 126 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Gameleira, Rio Verde",R$ 625.000,Residencial Gameleira,Rio Verde,Rua da Cerejeira,126 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-quintal-residencial-gameleira-rio-verde-126m2-id-2825561331/?source=ranking%2Crp
"Apartamento para comprar com 89 m², 3 quartos, 2 banheiros, 2 vagas em
Nova Vila Maria, Rio Verde",R$ 390.000,Nova Vila Maria,Rio Verde,Rua Carlos Gomes,89 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-sala-grande-nova-vila-maria-rio-verde-89m2-id-2832419816/?source=ranking%2Crp
"Casa para comprar com 202 m², 3 quartos, 3 banheiros em
Residencial Solar dos Ataídes 2ª Etapa, Rio Verde",R$ 1.100.000,Residencial Solar dos Ataídes 2ª Etapa,Rio Verde,Rua Dona Ernestina,202 m²,3,3,N/A,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-solar-dos-ataides-2-etapa-rio-verde-202m2-id-2864899672/?source=ranking%2Crp
"Casa para comprar com 80 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Recanto dos Ipês, Rio Verde",R$ 405.000,Residencial Recanto dos Ipês,Rio Verde,N/A,80 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-recanto-dos-ipes-rio-verde-80m2-id-2864249802/?source=ranking%2Crp
"Casa para comprar com 110 m², 3 quartos, 3 banheiros, 3 vagas em
Residencial Bela Vista, Rio Verde",R$ 580.000,Residencial Bela Vista,Rio Verde,Avenida Manoel Tavares,110 m²,3,3,3,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-quintal-residencial-bela-vista-rio-verde-110m2-id-2855888858/?source=ranking%2Crp
"Casa para comprar com 104 m², 3 quartos, 2 banheiros, 2 vagas em
Setor Morada do Sol, Rio Verde",R$ 600.000,Setor Morada do Sol,Rio Verde,Rua Ademar Lemes,104 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-setor-morada-do-sol-rio-verde-104m2-id-2771904620/?source=ranking%2Crp
"Galpão/Depósito/Armazém para comprar com 80000 m² em
Setor Central, Rio Verde",R$ 450.000.000,Setor Central,Rio Verde,Rua Osório Coelho de Moraes,80000 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-com-escritorio-setor-central-rio-verde-80000m2-id-2838403822/?source=ranking%2Crp
"Lote/Terreno para comprar com 180 m² em
Portal do Sol, Rio Verde",R$ 2.000,Portal do Sol,Rio Verde,Avenida José Costa Martins,180 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-portal-do-sol-rio-verde-180m2-id-2781087716/?source=ranking%2Crp
"Lote/Terreno para comprar com 174 m² em
Setor Central, Rio Verde",R$ 146.600.000,Setor Central,Rio Verde,Rua Abel Pereira de Castro,174 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-setor-central-rio-verde-174m2-id-2801501928/?source=ranking%2Crp
"Casa para comprar com 70 m², 3 quartos, 1 banheiro, 3 vagas em
Residencial Maranata, Rio Verde",R$ 420.000,Residencial Maranata,Rio Verde,N/A,70 m²,3,1,3,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-residencial-maranata-rio-verde-70m2-id-2823283918/?source=ranking%2Crp
"Casa para comprar com 115 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Campos Elíseos, Rio Verde",R$ 720.000,Residencial Campos Elíseos,Rio Verde,Rua Agrimensor Francisco Rattes,115 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-campos-eliseos-rio-verde-115m2-id-2864653096/?source=ranking%2Crp
"Fazenda/Sítio/Chácara para comprar com 4743200 m² em
Distrito Municipal de Pequenas Empresas, Rio Verde",R$ 6.000.000,Distrito Municipal de Pequenas Empresas,Rio Verde,Rodovia GO-174,4743200 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-fazenda-sitio-chacara-distrito-municipal-de-pequenas-empresas-rio-verde-4743200m2-id-2723966484/?source=ranking%2Crp
"Casa para comprar com 126 m², 3 quartos, 2 banheiros, 2 vagas em
Loteamento Gameleira, Rio Verde",R$ 650.000,Loteamento Gameleira,Rio Verde,Rua do Jatobá,126 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-loteamento-gameleira-rio-verde-126m2-id-2644081997/?source=ranking%2Crp
"Casa para comprar com 65 m², 3 quartos, 2 banheiros, 2 vagas em
Jardim Floresta, Rio Verde",R$ 360.000,Jardim Floresta,Rio Verde,Rua da Peroba,65 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-laje-jardim-floresta-rio-verde-65m2-id-2859100567/?source=ranking%2Crp
"Fazenda/Sítio/Chácara para comprar com 28 m² em
Área Rural de Rio Verde, Rio Verde",R$ 3.000.000,Área Rural de Rio Verde,Rio Verde,N/A,28 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-fazenda-sitio-chacara-area-rural-de-rio-verde-rio-verde-28m2-id-2696204175/?source=ranking%2Crp
"Casa para comprar com 80 m², 2 quartos, 1 banheiro, 2 vagas em
Martins, Rio Verde",R$ 420.000,Martins,Rio Verde,Rua Chiquinho Caetano,80 m²,2,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-martins-rio-verde-80m2-id-2864656287/?source=ranking%2Crp
